hgnc_symbol	adipose	colon	heart	hypothalamus	kidney
LOC642313	0.428	0.567	0.206	0.023	0.579
LOC642502	0	0	0	0	0
LOC642587	0	0.116	0.021	0.255	0.083
LOC642597	0	0.034	0	0.593	0.016
LOC642852	0.144	0.341	0.094	1.624	0.251
LOC643008	0	0.233	0.265	0.22	0.467
LOC643763	0.026	0.069	0.045	3.606	0.082
LOC644936	1.197	1.527	0.823	1.564	0.832
LOC645332	0.178	0.111	0.191	0.02	0.389
LOC645752	0	0.058	0.012	0.024	0.208
LOC648740	0.389	0.441	0.245	0.153	0.281
LOC650368	0.025	0	0.05	0.026	0.025
LOC653501	0.009	0	0	0.019	0
NEK10	0.097	0.224	0.297	1.709	0.478
LOC678655	0.388	1.229	0.363	0.866	0.737
NF1P1	0	0.186	0	0	0
LOC728613	0.542	1.048	0.311	1.544	1.238
LOC728643	1.016	1.281	3.061	1.468	2.976
LOC728723	2.736	0.361	0.131	0.697	1.3
LOC729020	0.069	0	0	0	0.026
LOC729121	0	0.065	0	0	0
LOC729799	0.214	0.32	0.131	0.413	0.368
LOC732275	0	0	0	0	0.007
LOC80054	1.702	1.251	0.144	0.706	0.371
LOC80154	0.086	0.583	0.189	0.296	0.167
LOC81691	0.41	0.519	0.658	0.642	0.167
LOC90834	0.121	0.404	0.015	0.016	0.146
LOC93432	0	0.145	0	0	0.047
LOH12CR1	0.933	0.814	0.51	2.617	0.934
LONP1	1.416	1.207	2.241	2.363	2.342
LONRF1	0.676	0.552	1.014	1.67	0.828
LPA	0.006	0.087	0.003	0.099	0.071
LPAR1	1.043	0.609	1.248	2.571	0.767
LPCAT1	2.196	1.303	3.217	5.464	2.354
LPPR4	0.307	0.446	0.108	19.073	0.174
LPPR5	0	0.064	0.009	2.199	0.014
LQK1	1.336	0.973	1.031	1.544	1.134
LRCH1	2.012	1.48	1.56	0.99	2.872
LRDD	0.037	0.051	0.081	0.013	0.049
LRFN1	0.012	0	0	0.23	0.006
LRGUK	0.122	0.181	0.014	0.674	0.398
LRP1	27.215	6.019	11.739	7.673	2.074
LRP2	0	0.011	0.005	1.38	75.032
NLGN4Y	0.354	0.005	0.161	3.879	0.15
LRRC16A	2.368	4.363	2.689	3.886	6.383
LRRC17	0.613	0.139	0.8	0.411	0.352
LRRC2	0.464	0.44	14.486	1.351	0.952
NPHS2	0	0.082	0	0	8.592
LRRC27	0.525	0.429	0.632	1.376	1.391
LRRC28	0.557	1.241	1.389	1.437	1.483
LRRC30	0	0	0	0	0
LRRC39	0.712	0.037	34.994	1.824	0.932
LRRC3B	0	0	0	1.3	0.022
LRRC42	1.157	1.635	1.795	1.967	1.99
LRRC45	0.085	0.267	0.029	0.029	0.043
LRRC49	0.105	0.037	0.934	1.831	0.385
LRRC4B	0.025	0.104	0.032	1.807	0.044
LRRC61	0.112	0.433	0.162	0.425	0.567
LRRC66	0.143	0.463	0.101	0.011	0.195
LRRC8C	1.152	0.271	1.402	1.283	0.605
LRRC8D	1.772	1.473	1.853	6.328	5.81
LRRCC1	1.27	1.167	1.826	2.012	2.277
LRRFIP1	5.114	4.07	19.688	4.685	3.31
LRRTM1	0	0.14	0	0.805	0
LRRTM3	0.02	0.179	0.422	7.802	0.023
LSM4	0.864	1.771	1.414	2.312	2.845
LSS	1.425	1.059	0.781	1.166	0.61
LST-3TM12	0	0	0	0	0
KCNQ1OT1	0.331	0.528	0.378	0.284	2.019
LTA	0	0	0.108	0.027	0.013
LTA4H	15.062	10.248	13.828	13.74	15.355
LTBP4	0.363	0.949	0.744	0.306	0.25
LTBR	8.879	8.417	8.236	2.664	12.234
LTV1	11.882	5.401	14.531	15.248	10.671
KCTD1	2.06	3.282	7.939	29.995	19.73
LUC7L2	25.375	16.16	31.93	39.864	29.838
LUZP6	0	0	0	0	0
LXN	1.415	1.889	1.42	0.441	1.695
LY6D	0	0	0	0	0
LY6E	1.787	0.703	2.834	3.268	3.23
LY6G5C	0	0.248	0.308	0.157	0.077
LY6G6E	0	0	0	0	0
LY6G6F	0	0	0.042	0	0
LYG1	0.037	0.104	0.132	0.077	4.963
LYPD2	0	0	0.943	0	0.104
LYPD6	0.053	0.214	0.011	1.468	0.282
LYPD6B	0.07	0	0	0.506	1.273
LYRM2	1.831	0.917	2.751	4.013	2.689
LYRM4	0.324	0.259	0.399	0.764	0.304
LYRM5	3.721	0.521	7.145	6.142	6.355
LYZL6	0	0	0	0	0
LZTFL1	1.524	0.537	1.498	5.932	2.423
MAB21L1	0.57	0.256	0.43	0.467	0.457
MAB21L2	0.226	49.663	0.99	0.835	0.777
MACROD2	0.264	0.45	0.146	2.416	0.614
MAD1L1	1.781	2.218	1.015	1.571	1.373
MAD2L1BP	0.498	0.665	0.928	0.882	0.935
MAD2L2	0.263	0.483	0.733	0.779	0.729
MAEA	1.422	2.278	2.914	4.346	3.159
MAEL	0	0.119	0.291	0.219	0.204
MAGEA3	0	0	0	0	0
KCTD12	12.935	2.721	8.512	11.573	6.415
MAGEB18	0	0	0	0	0
MAGEB6	0	0	0	0	0
MAGEE1	0.344	0.546	0.611	11.718	0.552
MAGEH1	0.678	0.668	1.288	6.816	1.826
MAGI1	2.384	2.598	2.116	3.263	3.209
MAGI3	1.556	3.322	2.52	5.772	5.225
MAGOH	1.618	2.228	2.299	1.725	1.797
MAK16	4.512	2.296	6.485	7.179	4.81
MAL	0	0.405	0.196	9.796	13.48
MALT1	1.419	0.654	1.799	0.865	4.105
MAML1	1.303	2.328	1.711	1.212	2.272
MAN2A1	2.764	2.247	2.687	5.985	5.543
MAN2C1	0.406	0.672	0.424	0.442	0.598
MANBAL	2.176	2.168	1.821	4.618	3.188
MANEA	1.14	0.208	1.019	0.961	1.966
MAOB	8.306	3.121	9.583	19.098	15.24
MAP1B	32.376	6.747	48.951	249.9	6.691
MAP1LC3B	3.966	1.585	9.985	9.228	4.208
MAP1LC3B2	0.75	0.896	0.963	2.869	0.446
MAP3K11	0.74	0.626	0.621	0.467	0.659
MAP3K3	1.575	0.959	3.16	0.675	0.922
MAP3K4	2.665	2.307	4.395	5.237	3.52
MAP3K8	2.408	0.748	5.443	1.64	1.91
MAP3K9	0.026	0.298	0.083	1.8	0.354
MAP4	12.114	4.864	19.346	21.949	6.348
MAP4K2	0.261	0.365	0.12	0.833	0.264
MAPK1	5.691	5.978	8.804	24.197	9.797
MAPK14	2.724	3.827	3.651	2.509	3.874
MAPK1IP1L	2.134	1.654	4.968	3.45	5.388
MAPK4	0.016	0.57	7.644	6.416	1.01
MAPK8IP1	0.06	0.034	0.018	3.155	0.195
MAPKAPK2	3.499	4.263	19.816	2.534	7.852
MAPKAPK3	0.852	0.278	4.66	0.273	1.313
KIAA0831	3.082	2.191	2.528	2.469	2.264
MAPRE1	24.2	14.054	34.156	27.586	28.285
MARK1	2.86	0.585	2.244	4.546	0.886
MARVELD2	0.015	1.638	0.078	0.445	2.036
MASP1	0.312	0.986	1.996	1.913	0.567
MATK	0.687	0.024	0.044	0.727	0.017
MATN1	0.01	0.027	0.015	0.079	0.029
MATN2	4.804	3.187	3.106	2.6	2.769
MAZ	6.805	14.518	9.15	11.112	9.227
MBL1P	0.052	0.018	0	0.08	0.026
MBLAC1	0.024	0.343	0	0.101	0.037
MBLAC2	0.326	0.342	0.283	2.001	0.559
MBNL2	11.085	3.072	15.194	17.245	7.993
MBTD1	1.249	0.812	0.97	0.95	1.116
MC1R	0.083	0.05	0.096	0.086	0.048
MC2R	0.04	0.169	0.046	0.052	0.066
MC4R	0	0	0	0.896	0.013
MCAM	20.763	3.234	3.676	1.956	0.918
MCART6	0.018	0.07	0.018	0.073	0.042
MCC	2.286	1.226	2.716	2.488	2.029
MCEE	3.588	1.833	7.564	3.528	4.177
MCHR1	0	0.117	0.092	1.157	0.008
MCL1	11.493	7.705	15.496	9.455	10.795
MCM3	6.976	7.91	6.903	5.505	6.735
KIAA1539	0.728	0.637	0.813	0.888	0.484
MCM4	1.621	2.045	1.472	2.863	1.664
MCM8	1.084	1.949	1.241	0.821	1.19
MCRS1	0.54	0.611	1.634	0.9	1.08
MCTP1	6.609	1.248	3.112	13.218	0.751
MDC1	2.048	4.307	2.819	3.466	4.107
MDFI	0.931	0.302	0.392	0.117	0.229
KIAA1688	0.043	0.14	0.058	0.634	0.101
MDM4	4.652	4.476	3.787	4.586	5.3
ME3	1.319	1.102	0.96	2.902	0.899
MED12	1.575	2.144	1.458	1.626	1.524
MED13L	5.718	5.153	6.458	5.286	6.275
MED16	0.113	0.123	0.274	0.324	0.292
MED26	0.542	0.476	0.275	0.381	0.291
MED27	0	0.186	0.377	0.356	0.455
MED29	1.729	1.247	2.111	5.853	4.278
MED4	7.609	3.37	9.846	11.056	7.363
MED7	11.951	5.844	10.66	15.19	12.911
MEGF10	0.019	0.097	0.032	2.554	0.031
MEGF9	2.747	0.825	2.312	6.366	2.341
KIAA1875	0.005	0.054	0.029	0.037	0.039
MEPCE	1.243	1.938	1.445	1.683	1.856
MEPE	0	0	0	1.718	0.038
MESDC1	0.975	1.087	2.187	1.54	1.276
MESP2	0	0	0	0.024	0
METAP2	12.492	5.717	13.412	15.841	10.609
METRNL	0.634	0.444	0.406	0.199	0.362
METT11D1	2.444	4.563	2.873	2.477	3.431
METTL12	0.08	0.112	0.283	0.192	0.161
METTL2B	1.531	0.719	1.29	1.302	1.164
METTL4	1.039	0.784	1.553	1.475	1.519
METTL7B	0.146	1.128	1.734	0.428	2.883
MEX3A	0.054	0.277	0.073	0.21	0.321
MFAP3L	0.208	0.175	0.268	3.618	5.935
MFAP5	16.13	1.561	5.893	0.197	0.598
MFGE8	1.943	0.912	5.96	0.248	0.961
MFNG	0	0.124	0.036	0.036	0.009
MFSD10	1.15	1.128	1.178	1.036	1.098
MFSD6	1.539	2.525	2.992	13.594	2.222
MFSD7	0.295	0.069	0.06	0.041	0.129
MFSD8	1.228	1.375	1.596	1.868	2.546
MGA	4.794	3.792	6.029	9.186	6.789
MGC12982	0.073	0.769	0.119	0.121	0.067
KIF6	0.065	0.032	0.033	1.107	0.126
MGC15885	0.143	0.3	0.056	0	0.088
MGC16142	0.399	0.598	0.535	0.794	0.374
MGC21881	0.939	1.196	1.156	1.351	3.075
MGC23284	0	0.084	0	0.206	0
KIR2DL5A	0	0	0	0	0
MGC27382	0.062	0.087	0.016	0	0.265
MGC2752	0.528	0.554	1.021	2.268	0.777
MGC2889	0.017	0.012	0.077	0.346	0.076
MGC34034	0	0.029	0.005	0	0.026
MGEA5	39.742	21.967	32.268	53.127	29.126
MGMT	0.987	0.691	0.383	0.659	0.85
MGST1	365.084	32.443	43.753	41.46	97.782
MGST2	1.698	1.221	3.635	1.516	2.225
MIA2	0.016	1.15	0.057	0	13.615
MIAT	0.177	0.799	0.165	3.041	0.229
KIR2DL5B	0	0	0	0	0
MICAL3	1.722	5.572	2.75	3.644	2.752
MICALCL	0.097	0.287	0.214	0.087	0.073
MID1	1.732	1.017	1.707	0.715	1.397
MID1IP1	1.176	1.499	4.553	4.478	2.805
MIER3	1.899	3.96	2.369	1.982	3.326
MIF	18.196	22.139	86.198	69.701	96.836
MIOX	0.026	0	0	0	9.419
MIPOL1	3.347	2.038	5.253	6.352	5.651
MIR105-2	0	0	0	0	0
MIR1178	0	0	0	0	0
MIR1197	0.422	0	0	0	0
MIR1200	0	0	0	0	0
MIR1201	0	0	0	0	0
MIR1208	0	0	0	0	0
MIR1225	0	0	0	0	0
MIR1234	0	0.612	0	0	0
MIR1236	0	0	0	0	0
MIR1243	0	0	0	0	0
MIR1246	0	0	0	0	0
MIR1248	0	0	0	0	0
MIR1250	0	0	0	0	0
MIR1257	0	0	0	0	0
MIR1259	0	0	0	0	0
MIR126	0	0	0	0	0
MIR1260	0	0	0	0	0
MIR1267	0	0	0	0	0
MIR1272	0	0	0.291	0	0
MIR1276	0	0	0	0	0.447
MIR1279	0	0	0	0	0
MIR128-1	0	0	0	0	0
MIR1280	0	0	0	0	0
MIR1282	1.818	2.037	3.322	0	2.019
MIR1284	0	0	0	0	0
MIR1286	0	0	0	0	0
MIR129-2	0	0	0	0	0
MIR1296	0.399	0.839	0.203	0.412	1.612
MIR1304	0	0	0	0	0
MIR1305	0	0	0	0	0
MIR1306	0	0	0	0	0
MIR133A2	0	0	0	0	0
MIR134	0	0	0	0	0
MIR135A2	0	0	0	0	0
MIR1469	0	0	0	0	0
MIR1470	0	0	0	0	0
MIR150	0	0	0	0	0
MIR152	0	0	0	0	0
MIR1538	0	0	0	0	0
MIR181A1	0	0	0	0	0
MIR181A2	0	0	0	0	0
MIR181B1	0	0	0	0	0
MIR181B2	0	0	0	0	0
MIR1826	0.432	0.303	0.219	0.446	1.309
MIR184	0	0	0	0	0
MIR190B	0	0	0	0	0
MIR1910	0	0	0	0	0
MIR193A	0	0	0	0	0
MIR194-1	0	0	0	0	0
MIR1974	2357.43	3929.92	14742.1	8676.19	16692.2
MIR199A2	0	0	0	0	0
MIR200A	0	0	0	0	0
MIR203	0	0	0	0	0
MIR2052	0	0	0	0	0
MIR21	0	0	0	0	0
MIR2114	0	0	0	0	0
MIR2116	0	0	0	0	0
MIR216A	0	0	0	0	0
MIR217	0	0	0	0	0
MIR22	0	0	0	0	0
MIR221	0	0	0	0	0
MIR2276	0	0	0	0	0
MIR23B	0	0	0	0	0
MIR24-1	0	0	0	0	0
MIR26A1	0	0	0	0	0
MIR298	0	0	0	0	0
MIR299	0	0	0	0	0
MIR300	0	0	0	0	0
KIR3DP1	0	0	0	0	0
MIR30A	0	0	0	0	0
MIR30D	0	0	0	0	0
KIRREL2	0	0.009	0	0.279	0.087
KLHL11	2.494	2.023	2.925	15.28	4.735
MIR324	0.442	0	0	0	0.223
MIR342	0	0	0	0	0
MIR345	0	0	0	0	0
MIR362	0	0	0	0	0
MIR367	0	0	0	0	0.545
MIR371	0	0	0	0	0
MIR373	0	0	0	0	0
MIR374B	0	0	0	0	0
MIR376A1	0	0	0	0	0
MIR379	0	0	0	0	0
MIR412	0	0	0	0	0
MIR425	0	0	0	0	0
MIR431	0	0	0	0	0
MIR450A2	0	0	0	0	0.185
MIR450B	0	0	0	0	0
MIR451	0	0	0	0	0
MIR484	0	0	0	0	0
MIR485	0	0	0	0	0
MIR494	0	0	0	0	0
MIR498	0	0	0	0	0
MIR502	0	0	0	0	0
MIR503	0	0	0	0	0
MIR507	0	0	0	0	0
MIR515-1	0	0	0	0	0
MIR516A1	0	0	0	0	0
MIR516A2	0	0	0	0	0
MIR516B1	0	0	0	0	0
MIR519A2	0	0	0	0	0
MIR519E	0	0	0	0	0
MIR520A	0	0	0	0	0
MIR520D	0	0	0	0	0
MIR520G	0	0	0	0	0
MIR522	0	0	0	0	0
MIR523	0	0	0	0	0
MIR524	0	0	0	0	0
MIR548A3	0	0	0	0	0
MIR548D1	0	0.872	0	0	0
MIR548D2	0	0	0	0	0.229
KLHL7	0.995	0.421	5.637	3.544	1.565
MIR549	0	0	0	0	0
KLHL9	2.747	1.999	2.717	3.976	3.723
MIR557	0	0	0	0	0.191
MIR558	1.953	4.377	2.578	2.418	1.775
MIR559	0	0	0	0	0
MIR575	0	0	0	0	0
MIR586	0	0	0	0	0
MIR591	0	0	0	0	0
MIR593	0.367	0	0	0	0
MIR600	0	0	0	0	0
MIR601	0	0	0	0	0
MIR602	0	0	0	0	0
MIR612	1.113	1.039	1.318	0	0.749
MIR614	0	0	0	0	0
MIR620	0	0	0	0	0
MIR624	0	0	0	0	0
MIR630	0	0	0	0.391	0.191
MIR631	1.469	0	0	0	0
MIR634	0	0	0	0	0
MIR637	0	0.26	0	0	0
MIR641	0	0	0	0	0
MIR646	0	0	0	0	0.986
MIR654	0	0	0	0	0
MIR657	0	0	0	0	0
MIR658	0	0	0	0	0
MIR660	0	0	0	0	0
MIR7-3	0	0	0	0	0
MIR744	0	0	0	0	0
MIR761	0	0	0	0	0
MIR766	0	0	0	0	0
MIR802	0	0	0	0	0
MIR875	0	0	0	0	0
MIR885	0	0	0	0	0
MIR888	0	0	0	0	0
MIR934	0	0	0	0	0
MIR96	0	0	0	0	0
MIR99A	0	0	0	0	0
MIRLET7F1	0	0	0	0	0.647
MIRLET7F2	0	0	0	0	0
MKI67	3.796	5.165	2.196	0.103	0.244
MKNK2	1.242	1.433	1.739	0.661	0.98
MKRN2	1.487	1.265	2.225	3.289	1.562
MLC1	0.01	0.093	0.041	8.338	0.01
MLF2	1.693	1.499	2.094	5.682	2.309
MLKL	1.158	1.365	1.153	0.847	0.533
MLL	3.735	4.287	4.447	6.641	4.273
MLL4	0.702	1.621	0.541	0.774	0.987
MLLT1	0.448	0.668	0.828	1.253	0.84
MLLT11	0.136	1.132	27.185	49.548	1.315
MLNR	0	0	0	0.031	0.09
MLST8	0.896	0.894	1.228	2.541	1.831
MMD	17.531	0.85	1.862	7.222	0.899
KLK13	0	0.02	0.03	0	0
MMP10	0	0.015	0	0	0
MMP13	0	0.028	0	0	0.396
MMP17	0.046	0	0	0.126	0.008
MMP21	0.153	0.027	0.039	0.059	0.058
MMP23A	0	0	0	0	0
MMP26	0	0	0	0	0
MMP28	0.647	0.353	0.073	0.631	0.036
MMP8	0.228	0	2.776	0.062	0
MNAT1	5.46	1.724	7.799	9.914	9.189
MNX1	0	0.095	0	0	0
MOBKL2C	1.925	1.256	1.722	1.77	1.62
MOCS2	15.651	7.725	44.714	42.557	47.073
MON2	2.777	1.737	2.595	3.775	3.875
MORF4L1	36.257	14.527	48.122	72.769	37.996
MORN3	0.254	0.022	0.065	2.589	0.369
MOV10	0.688	1.417	0.492	0.452	1.785
MPDU1	2.006	2.618	1.551	1.976	4.972
MPDZ	4.883	1.895	11.216	10.774	6.698
MPEG1	16.968	7.067	6.102	1.528	1.488
MPND	0.539	1.724	0.452	0.484	1.977
MPP2	0	0.181	0.211	1.434	0.042
MPP4	0.03	0	0.008	0	0
MPP5	3.366	3.178	3.619	8.247	10.054
MPPED1	0	0.021	0	0.57	0
MPPED2	0.184	0.129	0.536	1.026	1.807
MPV17L2	0.054	0.019	0.247	0.167	0.232
MPZL1	3.552	2.634	4.846	2.759	3.05
MPZL2	0.983	2.31	3.307	2.564	2.984
MRAP	1.056	0.288	0	0	0.03
MRAS	20.817	1.506	17.36	16.929	3.382
MRC1	0	0	0	0	0
MRC1L1	0	0	0	0	0
MRFAP1L1	18.557	15.461	21.865	56.368	25.256
MRGPRG	0	0	0	0	0
MRGPRX2	0.054	0	0	0	0
MRI1	0.301	0.745	0.37	0.572	1.01
KRT23	0.017	0.156	0.096	0.141	0.095
KRTAP10-1	0	0	0	0	0
KRTAP15-1	0	0	0	0	0
MRPL19	3.298	1.383	3.723	3.335	5.718
KRTAP2-2	0	0	0	0	0
MRPL23	1.34	1.564	1.461	1.997	1.353
KRTAP4-1	0	0	0	0	0
KRTAP4-11	0	0	0	0	0
KRTAP4-7	0	0	0	0	0
KRTAP5-2	0	0	0	0	0
MRPL38	0.513	0.718	2.213	2.478	1.778
MRPL46	2.13	3.034	5.35	5.797	3.504
MRPL53	9.478	5.761	19.308	9.288	11.859
MRPL54	1.238	0.743	1.436	0.973	1.399
LARS	10.685	5.287	12.652	16.394	9.911
LCN6	0	0	0.053	0	0
MRPS18C	0.295	0.619	0.582	0.575	1.075
MRPS34	3.478	3.871	4.145	5.1	3.993
MRPS36	5.25	3.85	10.787	8.838	8.747
LINGO3	0	0.012	0.044	0.302	0
MRS2	2.512	1.252	4.299	2.365	3.256
MRS2P2	0.137	0.105	0.201	0.113	0.228
MS4A2	1.494	2.116	0.371	0.274	0.386
MS4A3	0	0	0	0	0
MS4A4A	11.782	0.962	13.468	1.193	1.472
MS4A6A	34.31	8.081	22.495	6.747	3.509
MSH3	2.051	0.818	1.094	1.788	3.243
MSH5	0.572	0.901	0.202	0.18	1.419
MSI1	0	0.34	0.43	0.95	0.145
MSL2	3.271	2.733	5.284	4.426	4.318
MSLN	0	0.025	0	0.055	0
MSRA	1.412	0.711	2.315	2.582	12.936
MST1	0	0.088	0.04	0.098	0.382
MSTO1	0.406	0.158	0.122	0.357	0.114
LMNB2	0.998	2.286	0.917	1.422	0.744
MT1E	3.774	11.638	4.753	13.928	10.04
MT1IP	0	0.077	0.028	0.019	0.028
MT1X	1.545	1.846	3.599	5.533	5.645
MT3	0	0.707	0.096	57.616	0.191
MTFMT	0.695	0.59	0.971	1.532	1.175
MTL5	0	0.091	0.022	0.149	0.124
MTMR12	3.688	1.304	1.707	2.316	3.21
LOC100128731	11.357	10.074	13.299	8.203	5.62
LOC100129354	0	0	0	0	0
MTMR2	3.598	1.544	4.205	5.248	5.021
MTMR3	1.95	1.897	1.595	2.782	1.661
MTMR4	0.907	1.222	1.35	4.037	2.462
MTMR7	0.194	0.117	0.233	2.802	0.484
MTMR9	0.625	0.649	1.39	3.597	1.132
MTOR	2.277	7.192	2.829	4.543	3.394
LOC100129396	0	0	0	0	0
MTPAP	1.66	1.487	1.579	3.566	1.709
MTRF1L	2.974	1.244	7.101	3.96	4.654
MTTP	0.009	0.805	0.214	0.259	2.031
MTX1	0.996	0.747	0.409	0.563	1.293
MTX2	4.186	3.84	9.106	9.869	9.485
MUC13	0	18.057	0.013	0.013	1.659
LOC134466	0.41	0.393	0.878	0.454	1.8
MUC20	0.018	1.15	0.063	0.22	2.308
MUC21	0	0	0	0	0.015
MUC6	3.111	4.029	2.276	0.625	15.383
MUCL1	0	0.053	0	0	0
LOC158381	0.234	0.092	0.23	0.166	0.214
LOC441294	0	0	0	0	0
MUT	4.494	2.321	8.653	7.455	11.138
MVD	0.041	0.287	0.083	0.401	0.165
MVK	0.907	0.748	0.425	1.469	1.913
MXI1	3.085	2.878	7.899	9.028	3.505
LOC647288	0	0.02	0	0	0.028
LOC653543	0	0	0	0	0
LOC653545	0	0	0	0	0
LOC653548	0	0	0	0	0
LOC728402	0.03	0.106	0.307	0.031	0.153
MYBBP1A	0.734	0.839	0.531	0.877	0.601
MYBPC1	3.757	0.196	0.191	3.249	0.005
MYBPC2	0.133	0	0.119	0.074	0.026
MYCBPAP	0.104	0.089	0.023	0.119	0.081
MYCT1	1.195	0.194	1.587	0.224	0.591
MYEF2	1.006	1.656	2.498	10.708	5.117
MYH13	0.043	0.026	0.084	0.082	0.003
LOC728410	0	0	0	0	0
MYH7B	0.058	0.102	2.277	0.277	0.118
MYL7	0	0	115.287	0	0
MYLK	9.516	48.739	9.156	7.028	12.548
MYLK4	0.159	0.201	0.233	0.704	1.394
MYO15A	0.012	0.03	0.009	0.048	0.002
MYO1F	1.507	1.102	1.116	0.634	0.296
LOC728448	0.32	0.273	0.233	0.417	0.626
MYO5A	5.877	1.027	2.543	22.15	2.417
MYOG	0.084	0	0	0	0
MYOM1	3.398	1.412	86.588	1.944	0.466
MYOM2	0.095	0.139	77.972	1.331	0.71
LOC729338	0.175	0	0	0.301	0.059
MYOZ2	0.014	0	128.414	0.073	0.072
MYOZ3	0.032	0.111	0.059	0.25	0.075
MYST1	8.387	11.09	26.231	16.242	17.328
MYST3	5.007	3.619	6.88	7	6.308
MYT1	0.159	0.167	0.084	0.568	0.087
MZF1	0.038	0.018	0.064	0.065	0.051
N4BP2L1	1.133	0.338	0.416	2.077	0.59
N4BP3	0.031	0.189	0.069	0.329	0.115
N6AMT2	4.211	2.3	2.865	7.561	2.488
NACAD	0.031	0.286	0.231	1.234	0.074
NACC2	0.124	0.198	0.305	1.44	0.259
NAE1	9.325	3.762	10.679	15.941	8.56
NAF1	2.236	1.188	2.544	3.401	2.287
NAGPA	0.467	0.7	0.423	1.944	0.808
NAP1L4	8.298	5.576	14.763	20.6	11.251
LRRC1	1.536	5.24	1.143	2.907	4.379
LRRN2	0.046	0.314	0.053	0.759	0.418
NAT15	2.051	2.649	2.983	4.675	4.66
LST1	0.365	0	0.278	0.817	0.123
NBPF11	0	0	0	0	0
NBPF14	16.543	6.253	9.505	8.34	6.624
NBPF7	2.51	1.826	1.027	0.462	1.965
MAGEB16	0	0	0	0	0
NCAM1	0.439	4.336	10.863	37.277	0.334
NCAM2	0.169	0.667	2.817	46.699	0.281
NCAN	0.023	0.116	0.015	11.824	0.02
NCF1C	0.126	0	0.013	0	0
NCF4	1.55	1.03	0.92	0.596	0.292
NCKAP1	6.493	4.23	16.936	19.403	12.681
NCKAP1L	5.659	2.048	3.093	1.499	0.672
NCKIPSD	0.793	1.233	1.391	3.505	1.415
NCL	193.98	88.245	226.201	229.486	178.538
NCOR2	3.231	4.456	4.09	4.615	3.026
NCR2	0.039	0	0	0	0
NCRNA00028	0	0	0	0	0
NCRNA00029	0	0	0	0	0
NCRNA00032	0	0.044	0	0.156	0.096
MAGED4B	0	0	0	0	0
MAK10	1.672	1.597	2.357	2.752	3.266
NCRNA00099	0.067	0.17	0.027	0.439	0.066
NCRNA00107	0	0.152	0	0.05	0.11
NCRNA00111	0	0.283	0	0	0
NCRNA00113	0	0.049	0.071	0	1.981
NCRNA00114	0	0.04	0	0	0.029
NCRNA00119	0	0	0	0.03	0.022
NCRNA00152	0.502	0.128	0.348	0.047	0.254
NCRNA00161	0	0	0	0	0.036
NCRNA00169	0.653	1.027	0.372	0.214	0.362
MALL	0.361	3.167	0.922	0.335	0.662
MBD3	0.746	0.342	0.35	0.918	0.449
NCRNA00201	1.456	0.749	1.294	0.729	1.904
MBD3L2	0	0	0	0	0
NCRNA00207	0	0	0	0	0
NCRUPAR	0.079	0.167	0	0	0.04
NDE1	1.485	7.05	1.593	2.457	0.886
NDFIP2	1.201	1.541	2.377	15.988	5.407
NDRG1	22.502	26.841	24.838	33.413	76.066
NDST1	1.221	0.615	1.177	1.694	1.33
NDST2	0.395	0.631	0.667	0.844	0.77
NDST3	0	0.039	0.003	2.021	0.097
NDUFA1	35.285	41.429	123.321	52.936	61.765
NDUFA13	5.42	7.022	9.527	13.073	5.542
NDUFA4L2	0.68	0.108	2.307	0.67	0.359
NDUFA5	6.302	2.256	35.865	37.621	23.529
NDUFA6	8.002	5.625	25.648	14.785	12.59
NDUFAB1	6.827	5.667	23.561	13.065	10.98
NDUFAF1	1.613	0.847	4.427	3.225	3.016
NDUFAF3	3.694	1.293	3.364	4.409	3.566
NDUFAF4	1.143	0.384	4.44	4.151	2.531
MCPH1	1.23	0.647	1.88	1.915	1.514
NDUFC1	49.911	45.625	313.61	133.901	174.339
NDUFV3	2.413	2.559	6.772	3.917	3.314
NECAB1	0.336	0.415	4.781	7.867	1.05
NECAB2	0.069	0.032	0	4.341	0.289
NECAB3	0	0.053	0.279	0.156	0.163
NECAP1	2.135	2.57	2.435	24.883	4.002
NEFL	0.01	0.738	0.073	57.938	0.874
NEFM	0.034	3.923	0.559	302.584	1.871
NEIL1	0.117	0.327	0.099	0.1	0.314
NEIL3	0.046	0.3	0.124	0.047	0.008
NEK11	0.964	0.516	0.418	2.569	1.479
MDN1	2.267	1.843	2.982	4.037	3.425
GATSL2	0	0	0	0	0
GDF11	1.086	2.005	10.514	9.065	2.769
NEK9	8.474	4.737	9.526	5.784	4.965
NET1	17.694	11.686	5.29	7.957	12.941
GDPD1	0.192	0.358	0.178	3.759	0.339
NEU1	1.95	1.316	2.07	2.195	6.58
NEURL1B	3.4	6.428	8.138	5.011	3.121
NEURL2	0	0.041	0.089	0.03	0.015
NEURL3	0	0	0	0.045	0.199
NEURL4	0.269	0.71	0.367	0.841	0.519
NEUROD1	0.321	0.127	0.12	0.648	0.176
NEUROD4	0	0	0	0	0
NEXN	13.305	3.968	325.065	1.934	4.743
NF1	1.872	1.677	3.879	6.67	4.156
NFATC2	1.865	2.154	0.903	1.631	0.549
NFIL3	19.214	4.551	33.475	14.883	11.062
GEFT	0.892	3.305	0.972	5.078	0.298
NFKBIZ	2.837	4.806	4.34	2.112	4.651
NGF	0.175	0.172	1.439	0.036	0.159
