GENE	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10
C3orf31	1.2138	1.1015	1.0971	1.3080	1.2749	1.1473	1.2266	1.1382	1.1313	1.0622
C3orf35	0.1310	0.2195	0.1595	0.3251	0.3290	0.1804	0.3019	0.2575	0.2091	0.1417
C3orf38	2.8296	3.1161	3.2535	2.0945	2.2290	2.8535	2.3761	2.7615	2.7225	2.8346
C3orf45	0.5577	0.1157	0.3315	0.2262	0.2210	0.2288	0.0130	0.1105	0.1157	0.1131
C3orf48	0.1376	0.1297	0.0837	0.1346	0.0851	0.1605	0.2057	0.0854	0.1383	0.1208
RABL4	0.9230	1.0472	1.1028	0.7958	0.8796	0.8896	0.7831	0.9616	0.8440	0.7844
C3orf51	0.0657	0.1190	0.1026	0.0384	0.0383	0.0924	0.0870	0.0797	0.0820	0.0760
C3orf58	1.3143	1.3457	1.4095	0.9238	0.9396	1.2512	1.0516	1.1235	1.1245	1.1023
C3orf63	5.4358	5.0279	4.8477	4.0356	3.4831	5.3810	5.1108	4.0294	4.8093	4.8195
C3orf64	5.0404	2.4681	3.7827	3.0608	3.0815	3.2608	1.8449	2.6294	2.7803	3.1261
C3orf65	0.0824	0.1197	0.0839	0.1809	0.1746	0.1023	0.1736	0.1293	0.1081	0.0608
C3orf66	0.0444	0.1100	0.1042	0.0338	0.0516	0.0683	0.0570	0.0884	0.0680	0.0625
C3orf71	0.2847	0.4321	0.4091	0.2841	0.3177	0.3367	0.3336	0.3812	0.3315	0.2990
C4BPA	0.2735	0.1414	0.1866	0.2417	0.2312	0.1711	0.1587	0.1482	0.1346	0.0915
C4orf26	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
C4orf31	2.5175	2.6430	1.0502	2.4605	0.9072	3.3651	4.9055	1.0084	2.5734	1.7969
C4orf32	1.2450	0.7654	0.9302	0.8385	0.7563	1.1511	0.8541	0.8899	1.2076	1.6303
C4orf33	0.7334	1.0277	0.8209	0.6457	0.5386	0.9700	1.0652	0.7643	0.9049	0.8709
C4orf37	0.2740	0.5144	0.4540	0.2346	0.2606	0.3844	0.3803	0.3990	0.3668	0.3336
C4orf40	0.0013	0.0018	0.0010	0.0033	0.0030	0.0017	0.0033	0.0020	0.0018	0.0009
C4orf44	0.0100	0.0400	0.0400	0.0000	0.0100	0.0200	0.0100	0.0300	0.0200	0.0200
C4orf45	0.0364	0.0502	0.0184	0.0318	0.0046	0.0569	0.0841	0.0138	0.0410	0.0251
C4orf6	0.0317	0.0233	0.0147	0.0254	0.0126	0.0402	0.0446	0.0189	0.0401	0.0505
C5	0.5582	0.5795	0.4055	0.5316	0.3617	0.6549	0.8130	0.3890	0.5645	0.4842
C5orf20	0.0146	0.0352	0.0340	0.0502	0.0624	0.0188	0.0311	0.0500	0.0280	0.0176
C5orf32	2.4692	2.2051	1.4369	2.2136	1.3045	2.8516	3.5325	1.3998	2.4481	2.2631
C5orf35	0.6397	0.5362	0.4868	0.6898	0.6083	0.6751	0.7424	0.5761	0.7004	0.7649
RAG1AP1	5.5394	5.6301	5.1391	7.1372	6.9269	5.8396	6.9143	6.1352	6.1195	5.7977
C5orf48	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
C5orf51	2.0641	2.2254	2.0776	1.5224	1.3533	2.2429	2.1237	1.7747	2.0700	2.1359
RASSF3	2.0687	1.3314	1.8394	2.2252	2.4737	1.4560	1.2159	1.9173	1.5696	1.6046
C6orf103	0.0096	0.0343	0.0343	0.0057	0.0146	0.0182	0.0115	0.0291	0.0199	0.0203
RAVER1	0.2665	0.3114	0.2734	0.3252	0.3135	0.2950	0.3491	0.2983	0.2932	0.2576
RBM16	14.1095	11.7937	12.7217	10.2894	9.7390	12.2747	10.6519	10.0689	10.7269	10.3464
C6orf122	0.0525	0.0656	0.0672	0.0542	0.0611	0.0654	0.0571	0.0759	0.0774	0.0964
C6orf136	1.4770	1.6764	1.6636	1.4088	1.4622	1.4500	1.4456	1.4962	1.3432	1.1372
RFPL4A	0.0125	0.0210	0.0170	0.0465	0.0510	0.0145	0.0312	0.0340	0.0210	0.0105
C6orf145	1.8857	1.3816	1.5564	1.5281	1.4540	1.7711	1.4918	1.5418	1.8376	2.2471
C6orf147	0.0455	0.0667	0.0643	0.0445	0.0501	0.0494	0.0493	0.0566	0.0457	0.0353
C6orf165	0.2636	0.7415	0.6579	0.1069	0.1830	0.4678	0.3916	0.5033	0.4299	0.3941
RHBDL3	0.0993	0.2000	0.1984	0.0562	0.0867	0.1280	0.0952	0.1533	0.1186	0.1072
C6orf176	2.6046	2.5400	1.3894	2.4424	1.2420	3.0163	4.1888	1.1558	2.2424	1.3971
C6orf182	1.8433	2.4026	2.3188	1.3193	1.3700	2.2186	1.9126	2.0716	2.2198	2.4978
C6orf203	16.5894	14.8676	14.7900	11.8823	10.4183	15.5727	14.4338	11.6325	13.4274	12.8317
C6orf204	3.0345	3.0022	3.4368	1.8198	2.0551	2.7231	1.8696	2.6101	2.4800	2.6249
C6orf217	0.0275	0.0554	0.0372	0.0182	0.0093	0.0459	0.0548	0.0279	0.0368	0.0277
C6orf222	0.0329	0.0678	0.0658	0.1465	0.1754	0.0359	0.0793	0.1216	0.0638	0.0339
C6orf227	0.0565	0.0640	0.0482	0.1216	0.1187	0.0625	0.1040	0.0829	0.0710	0.0491
C6orf62	14.0826	12.2556	11.4232	10.9190	8.8972	14.3456	14.1081	10.1664	13.2244	14.0100
C6orf89	4.4069	4.4234	4.4670	3.2496	3.1215	4.3294	3.8679	3.6915	3.9356	3.9236
C7orf16	0.0597	0.1400	0.1504	0.0104	0.0441	0.0778	0.0337	0.1063	0.0726	0.0726
C7orf28B	0.5268	0.3855	0.3589	0.3256	0.2137	0.4956	0.4725	0.2558	0.4085	0.4195
C7orf42	10.0387	11.5001	11.3137	8.1714	8.2598	10.6257	9.7908	9.9839	10.1145	10.1408
C7orf47	0.1385	0.1016	0.1018	0.0936	0.0727	0.1303	0.1183	0.0831	0.1170	0.1299
C7orf55	0.6488	0.4363	0.5595	0.5541	0.5810	0.4754	0.3799	0.4875	0.4451	0.4375
C7orf58	2.2574	1.4687	1.8249	1.9470	1.9521	2.2742	1.7315	2.1928	2.7337	3.8715
C7orf59	1.5174	1.9826	1.8504	1.7493	1.8317	1.9654	1.9779	2.1603	2.2452	2.6030
C7orf66	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
C7orf69	0.0206	0.0245	0.0133	0.0362	0.0289	0.0317	0.0460	0.0266	0.0355	0.0370
C7orf71	0.0193	0.0219	0.0107	0.0297	0.0211	0.0304	0.0427	0.0214	0.0329	0.0357
C7orf72	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
C8orf12	0.0922	0.1290	0.1138	0.0561	0.0495	0.1063	0.1029	0.0811	0.0856	0.0683
C8orf31	0.0748	0.1506	0.1488	0.0621	0.0875	0.1058	0.0847	0.1361	0.1136	0.1214
C8orf34	0.2143	0.3876	0.4224	0.0950	0.1781	0.2762	0.1492	0.3483	0.2962	0.3614
C8orf4	10.5868	8.5454	7.1950	10.0405	7.8209	10.6415	12.1705	7.1805	9.6488	9.1879
C8orf40	6.1358	5.7994	5.8552	4.4574	4.1256	6.1477	5.4394	5.0174	5.7766	6.2461
C8orf41	1.2612	0.9990	1.0262	0.9248	0.7994	1.1148	1.0347	0.8074	0.9526	0.9080
C8orf44	1.0612	1.2764	0.9710	1.2590	1.0668	1.3125	1.6364	1.0920	1.2696	1.1499
C8orf83	4.5267	4.4719	4.7193	2.7839	2.7421	4.1865	3.3792	3.4556	3.5701	3.4328
C8orf86	0.0141	0.0194	0.0160	0.0236	0.0237	0.0159	0.0227	0.0195	0.0160	0.0101
C9orf100	0.2909	0.2439	0.2897	0.3577	0.3957	0.2459	0.2387	0.3304	0.2781	0.2842
RNF160	2.7151	2.6970	2.6428	2.0174	1.8489	2.7245	2.5199	2.2041	2.4692	2.4729
C9orf106	0.0308	0.0308	0.0000	0.0308	0.0000	0.0462	0.0770	0.0000	0.0308	0.0154
RNF43	0.7946	1.1025	0.8847	1.8845	1.9528	0.8821	1.5179	1.3919	1.0161	0.5674
C9orf11	0.0344	0.0573	0.0417	0.0740	0.0733	0.0501	0.0761	0.0634	0.0571	0.0462
RNF44	0.2685	0.4741	0.4333	0.3655	0.4187	0.3524	0.3909	0.4616	0.3779	0.3347
ROBLD3	9.1874	9.9265	10.3321	7.1115	7.4820	9.5998	8.0598	9.3287	9.6085	10.6897
C9orf150	0.8700	1.2286	1.2332	1.3697	1.5891	1.1074	1.1613	1.6149	1.4204	1.6154
C9orf152	0.4471	0.6969	0.7251	1.6556	1.9658	0.4062	0.8466	1.3267	0.7077	0.4023
C9orf173	0.0508	0.0799	0.0451	0.0411	0.0160	0.0842	0.1061	0.0417	0.0731	0.0683
C9orf21	1.5249	0.6737	0.9759	0.8033	0.6671	1.0289	0.6543	0.5798	0.8095	0.9156
C9orf25	2.5872	4.8711	5.0435	1.4268	2.2991	3.2367	2.1623	4.0110	3.1745	3.2402
C9orf43	0.1102	0.1362	0.0874	0.0816	0.0384	0.1546	0.1814	0.0778	0.1354	0.1352
C9orf47	0.1600	0.1259	0.1049	0.1003	0.0570	0.1509	0.1601	0.0643	0.1103	0.0888
C9orf50	0.0078	0.0110	0.0064	0.0206	0.0192	0.0101	0.0195	0.0128	0.0110	0.0055
C9orf66	0.0880	0.0612	0.0214	0.0679	0.0147	0.0958	0.1350	0.0093	0.0638	0.0398
C9orf7	0.3014	0.3385	0.2641	0.4654	0.4305	0.3259	0.4683	0.3352	0.3179	0.2170
C9orf72	3.8176	5.4842	5.9414	2.3876	3.2658	4.2026	2.8245	4.9058	4.2202	4.6322
C9orf80	2.1128	2.4382	1.9980	1.7088	1.3316	2.3927	2.6351	1.6590	2.0330	1.7383
C9orf86	0.5982	0.8731	0.7431	0.8385	0.8512	0.7548	0.9208	0.8557	0.7919	0.7013
C9orf89	0.1209	0.0732	0.0858	0.0900	0.0795	0.0939	0.0816	0.0681	0.0810	0.0813
CA2	5.9668	8.7168	5.0494	9.0849	6.9549	8.3858	12.8541	6.2843	7.4622	4.6554
CA5A	0.0295	0.0800	0.0800	0.0950	0.1245	0.0400	0.0580	0.1075	0.0590	0.0400
RP11-529I10.4	2.4116	3.1950	3.0860	1.6439	1.7181	2.6226	2.3279	2.4085	2.3076	2.0828
CA8	1.3892	1.8972	1.8824	0.9291	1.0389	1.5121	1.2727	1.4803	1.3614	1.2687
CA9	0.0592	0.0536	0.0680	0.1304	0.1536	0.0376	0.0580	0.1000	0.0536	0.0304
CABLES2	0.5689	0.4705	0.6135	0.4951	0.5889	0.3969	0.2795	0.5130	0.3679	0.3122
RPL36	1.4601	2.2863	2.2805	2.4535	2.9183	1.7215	1.9484	2.7690	2.0921	1.9578
CABP7	0.3793	1.5016	1.5016	0.0390	0.4183	0.7508	0.3910	1.1457	0.7586	0.7508
RTKN2	0.1159	0.1853	0.1643	0.1998	0.2184	0.1456	0.1866	0.2031	0.1641	0.1375
CACHD1	1.8636	2.9757	2.7505	1.2160	1.3189	2.5475	2.1952	2.4100	2.5503	2.8602
CACNA1A	0.1841	0.5822	0.5818	0.0878	0.2257	0.3186	0.1995	0.4731	0.3312	0.3314
CACNA1S	0.0213	0.0358	0.0388	0.0143	0.0218	0.0266	0.0169	0.0346	0.0294	0.0350
CACNA2D2	0.3601	0.5140	0.5506	0.2984	0.3847	0.3599	0.2846	0.4597	0.3418	0.2945
CACNG1	0.0030	0.0030	0.0000	0.0030	0.0000	0.0045	0.0075	0.0000	0.0030	0.0015
CACNG8	0.0267	0.1068	0.1068	0.0000	0.0267	0.0534	0.0267	0.0801	0.0534	0.0534
CADM3	2.2550	6.9837	7.0635	1.2226	2.9623	3.9164	2.4070	5.9470	4.2487	4.4969
CADPS	2.2886	7.5318	7.6800	0.4724	2.3578	3.8951	2.0064	5.8230	3.8810	3.8261
CALB2	1.6599	3.3551	3.4113	1.0801	1.6991	3.0703	2.0066	3.7106	3.9673	5.7434
CALCA	0.2687	0.1283	0.1053	0.1634	0.0702	0.2100	0.2330	0.0351	0.1283	0.0817
CALCOCO1	10.0722	8.6579	9.6793	9.3342	9.6981	9.3412	8.2005	9.6576	9.7309	10.8369
CALCOCO2	91.5519	31.7001	60.7679	45.2857	44.2157	48.1625	18.0297	31.0648	33.4171	35.2348
CALM1	69.3692	133.0099	134.9069	37.2859	58.7242	90.4603	62.7561	107.8303	88.8903	92.3270
CALM3	54.0444	103.2115	105.6021	28.0215	45.3190	68.6033	46.4357	82.6497	66.1995	66.8662
CAMK1D	1.4439	2.8136	2.9742	1.1767	1.8230	1.7334	1.2325	2.5474	1.7852	1.6774
CAMK2N2	0.1447	0.4959	0.4877	0.1013	0.2215	0.2683	0.1866	0.4184	0.2893	0.2844
CAMK4	2.0575	7.5333	7.4877	0.5464	2.3744	3.8777	2.2328	5.8279	3.9237	3.8210
CAMSAP1	1.3047	2.1839	2.1747	0.9826	1.2620	1.6275	1.3199	1.8889	1.6391	1.6870
CANT1	2.4372	2.7340	2.7352	3.6374	3.9374	2.3762	2.8554	3.2764	2.6172	2.1992
CAPN2	9.9163	8.4848	7.3518	10.1196	8.4673	10.2993	11.6573	7.9541	9.9422	9.9841
CAPN5	1.0822	1.7517	1.5019	2.6253	2.8704	1.2969	2.0696	2.2323	1.5821	1.0546
CAPN6	0.3356	0.4151	0.1985	0.5379	0.3830	0.4941	0.7603	0.3365	0.4799	0.4014
RUNDC2C	0.3241	0.3340	0.3434	0.4352	0.4655	0.3205	0.3529	0.4083	0.3582	0.3497
CAPNS1	7.8768	7.2665	7.0141	7.6001	7.0704	7.7922	8.0671	6.9147	7.5109	7.4069
CAPRIN2	3.0403	3.5759	3.5835	2.2161	2.3029	3.1064	2.7263	2.8990	2.8029	2.6391
CAPSL	0.2375	0.8834	0.8612	0.0222	0.2153	0.4639	0.2708	0.6459	0.4528	0.4417
CARD14	0.0144	0.0164	0.0040	0.0224	0.0120	0.0206	0.0360	0.0080	0.0164	0.0082
CARD16	1.3607	0.9160	1.0832	1.4253	1.4314	1.1883	1.1075	1.2394	1.3056	1.5145
CARD6	3.0347	2.0126	2.3560	2.0065	1.7986	2.9080	2.1860	2.2400	3.0442	4.0926
CARD8	1.3374	0.9508	1.0078	1.0000	0.8564	1.2289	1.0970	0.8986	1.1628	1.3249
CARD9	0.0269	0.0753	0.0753	0.0580	0.0814	0.0429	0.0450	0.0881	0.0573	0.0534
CARKD	1.2911	1.7492	1.6124	1.3438	1.3913	1.4714	1.5549	1.5453	1.4254	1.2596
CARS	2.9370	3.5432	3.7032	2.2340	2.5190	3.1386	2.5441	3.2724	3.1440	3.4216
CARS2	1.6126	1.4471	1.4887	1.6279	1.6082	1.5332	1.5332	1.5159	1.5383	1.5553
CARTPT	1.0405	3.1730	3.2504	0.3548	1.1469	1.6659	0.9107	2.5083	1.6656	1.6089
CASC2	0.2644	0.5522	0.4500	0.1780	0.1732	0.4185	0.4249	0.3670	0.3774	0.3397
CASC3	5.9978	7.4049	7.2551	5.9075	6.2850	6.6603	6.4274	7.1377	6.8205	6.9536
CASC5	0.3954	0.3175	0.2855	0.4998	0.4539	0.3927	0.4772	0.3670	0.4081	0.4006
SC65	0.0946	0.0829	0.0787	0.1310	0.1279	0.0866	0.1103	0.0964	0.0883	0.0713
CASP8AP2	2.9398	2.7828	2.9030	1.9543	1.8625	2.8322	2.3628	2.3215	2.5778	2.7274
CATSPER4	0.0026	0.0026	0.0000	0.0026	0.0000	0.0039	0.0065	0.0000	0.0026	0.0013
CBFA2T3	0.4212	0.4043	0.4823	0.3549	0.4162	0.3430	0.2598	0.4101	0.3263	0.3037
CBFB	3.2622	3.0536	3.3112	2.5617	2.6313	3.0149	2.5552	2.8579	2.8578	2.9479
CBL	1.4295	1.6907	1.7419	1.2211	1.3407	1.5076	1.3144	1.5968	1.5125	1.5807
CBLN1	0.6322	0.6777	0.8415	0.4788	0.6365	0.5132	0.3072	0.6890	0.5003	0.4883
CBX1	10.8477	15.3599	15.7897	7.4803	9.1275	11.9923	9.4140	12.9944	11.4893	11.5584
CBX7	13.6278	15.5674	17.1534	9.6511	11.3713	12.7211	9.5878	13.6973	11.7292	11.2579
CBX8	0.6918	0.6004	0.5744	0.6837	0.6213	0.6315	0.6946	0.5383	0.5638	0.4681
CBY1	5.6029	5.8791	5.8555	4.9787	4.9653	5.7458	5.4531	5.4750	5.6093	5.7165
CCBE1	0.5440	0.9274	0.8224	1.1195	1.2505	0.6862	0.9530	1.0893	0.8120	0.6292
CCBL1	0.4426	0.5102	0.5336	0.3425	0.3765	0.4318	0.3669	0.4417	0.3980	0.3724
CCDC102A	0.2048	0.1747	0.1611	0.2326	0.2117	0.2067	0.2346	0.1872	0.2105	0.2126
CCDC103	0.5232	1.3380	1.2378	0.3686	0.5580	0.8503	0.7212	1.0436	0.8416	0.7933
CCDC104	20.2187	25.1325	24.5005	11.4104	11.3132	21.7851	18.2151	18.0625	18.8753	18.3358
CCDC107	0.1580	0.0952	0.1440	0.0888	0.1028	0.0972	0.0424	0.0940	0.0784	0.0788
CCDC108	0.0204	0.0322	0.0224	0.0130	0.0066	0.0287	0.0335	0.0158	0.0222	0.0165
CCDC109B	1.3285	1.0975	1.3729	0.9661	1.0969	1.1551	0.7671	1.2208	1.1989	1.4530
CCDC113	0.4923	1.1379	1.1185	0.2160	0.4024	0.7370	0.5078	0.8855	0.7283	0.7629
CCDC12	7.2956	8.9592	8.7752	6.9209	7.3191	8.1727	7.7561	8.5619	8.3666	8.7219
CCDC121	0.8823	0.8448	0.7624	0.5360	0.3859	0.9132	0.8690	0.5563	0.7638	0.7546
CCDC122	0.8854	0.7056	0.6736	0.6485	0.5109	0.7923	0.7947	0.5017	0.6358	0.5443
CCDC124	3.0393	2.8203	2.9517	2.8406	2.8572	2.8420	2.7084	2.7989	2.7655	2.7349
CCDC130	0.6062	0.6666	0.7196	0.5163	0.5787	0.5580	0.4789	0.6147	0.5212	0.4694
CCDC134	0.4724	0.6653	0.5755	0.8332	0.8731	0.5528	0.7562	0.7440	0.6099	0.4747
CCDC138	0.3463	0.4828	0.3986	0.2930	0.2531	0.4233	0.4643	0.3377	0.3682	0.3055
CCDC140	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CCDC142	0.1622	0.2041	0.1905	0.3272	0.3551	0.1733	0.2466	0.2770	0.2119	0.1720
CCDC146	1.8785	1.6771	1.5803	1.4005	1.1527	1.8204	1.7944	1.2726	1.5649	1.4797
CCDC158	0.4056	0.5684	0.5116	0.2222	0.1998	0.4936	0.4438	0.3832	0.4308	0.4230
CCDC159	1.4107	1.1447	1.1359	1.2164	1.0754	1.2853	1.2945	1.0093	1.1527	1.0878
CCDC162	0.0578	0.0794	0.0586	0.1442	0.1450	0.0836	0.1291	0.1172	0.1102	0.1090
CCDC17	0.0421	0.0481	0.0137	0.0661	0.0377	0.0610	0.1035	0.0274	0.0515	0.0317
CCDC22	0.1727	0.1992	0.1896	0.2306	0.2401	0.1952	0.2172	0.2307	0.2198	0.2276
CCDC25	12.0902	15.5469	15.5275	8.1837	8.8928	13.5903	11.2291	13.0185	13.0713	13.9498
CCDC36	0.1251	0.1222	0.1360	0.1668	0.1859	0.1507	0.1368	0.1955	0.2036	0.2743
CCDC39	0.2179	0.4026	0.3730	0.1299	0.1578	0.3061	0.2581	0.3070	0.2950	0.3059
CCDC53	6.2148	4.8622	5.1876	3.5565	2.9527	5.5428	4.5016	3.6667	4.6904	4.9754
CCDC56	3.6263	3.7411	2.8183	3.5369	2.6445	4.0550	4.9554	2.6776	3.5069	2.9075
CCDC57	1.3500	1.5710	1.3232	2.1989	2.1667	1.4802	2.0429	1.7499	1.5728	1.2432
CCDC59	1.9618	1.7316	1.8264	1.1437	1.0241	1.7935	1.4534	1.3083	1.5214	1.5493
CCDC63	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CCDC64B	0.1293	0.2736	0.2634	0.5427	0.6516	0.1470	0.3044	0.4638	0.2484	0.1368
CCDC72	20.7770	26.5654	26.5448	19.7194	21.7624	23.3045	21.4371	25.7396	24.1502	25.2483
CCDC74B	0.0232	0.0928	0.0928	0.0000	0.0232	0.0464	0.0232	0.0696	0.0464	0.0464
CCDC75	9.3152	10.8129	10.9157	6.5778	6.8355	11.3533	9.0953	10.6294	12.3063	15.7104
CCDC78	0.0165	0.0588	0.0564	0.0024	0.0141	0.0318	0.0201	0.0423	0.0306	0.0294
CCDC8	3.3436	2.1140	2.3772	2.2602	1.8838	2.6214	2.2841	1.6874	2.1128	1.9978
CCDC81	0.2181	0.3303	0.2945	0.2119	0.2183	0.2701	0.2822	0.2730	0.2585	0.2316
CCDC84	0.7551	0.7295	0.7333	0.9231	0.9429	0.7313	0.8040	0.8266	0.7689	0.7318
CCDC85B	0.8357	1.6407	1.7499	0.6042	0.9874	1.0515	0.6871	1.5063	1.1195	1.1754
CCDC85C	0.3173	0.3266	0.3420	0.4299	0.4662	0.2706	0.3176	0.3680	0.2718	0.1864
CCDC89	0.5641	0.7073	0.5871	0.6741	0.6259	0.6857	0.8119	0.6502	0.6879	0.6432
CCDC93	4.2212	3.1707	3.4147	3.6618	3.4157	3.6023	3.4320	3.0584	3.2977	3.1962
CCDC96	0.5997	0.9007	0.7547	0.4452	0.3912	0.7749	0.7988	0.6229	0.6871	0.6220
CCDC99	2.5925	3.0531	3.0809	1.7387	1.8123	2.7325	2.2816	2.4968	2.5313	2.5998
CCIN	0.0059	0.0236	0.0236	0.0000	0.0059	0.0118	0.0059	0.0177	0.0118	0.0118
CCKAR	0.0342	0.0721	0.0699	0.0831	0.1030	0.0421	0.0582	0.0893	0.0541	0.0366
CCKBR	0.1037	0.4148	0.4148	0.0000	0.1037	0.2074	0.1037	0.3111	0.2074	0.2074
CCL17	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CCL23	0.4710	0.1596	0.2768	0.2810	0.2492	0.2564	0.1561	0.1476	0.1724	0.1492
CCL25	0.0029	0.0058	0.0058	0.0145	0.0174	0.0029	0.0073	0.0116	0.0058	0.0029
CCL3	0.0350	0.0070	0.0210	0.0140	0.0140	0.0140	0.0000	0.0070	0.0070	0.0070
CCL3L3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CCNB1	0.7301	1.0726	1.0448	1.0666	1.2223	0.8693	0.9507	1.2191	1.0052	0.9789
SBDSP	7.1170	7.3706	7.6274	4.9321	4.9503	7.3681	6.0715	6.5453	7.1452	8.0251
CCND2	19.6516	12.9489	18.4967	13.2989	15.2914	13.6157	7.5133	14.4189	12.7197	14.0986
CCNE1	0.2041	0.3145	0.3241	0.2128	0.2662	0.2305	0.2044	0.3097	0.2437	0.2338
CCNJ	0.9747	0.8602	0.7780	0.8937	0.7550	0.9898	1.0583	0.7550	0.9242	0.9166
CCNY	5.6226	5.5969	5.9613	3.9039	3.9940	5.1940	4.2927	4.6691	4.6069	4.4463
CCNYL1	1.4899	1.4925	1.4291	1.2962	1.2040	1.6266	1.5629	1.4137	1.6397	1.8311
CCR4	0.0520	0.0433	0.0343	0.0757	0.0670	0.0497	0.0716	0.0461	0.0477	0.0338
CCT4	7.8248	9.2984	9.5598	5.2770	5.7132	8.2039	6.6510	7.8216	7.7204	8.0465
CCT6A	20.7303	19.8648	19.5124	14.4928	12.8479	20.1754	18.5276	15.3423	17.5486	16.9892
CD163	107.1457	35.4750	67.3460	53.3878	49.4227	60.9227	26.2759	37.0555	46.5692	55.6831
CD163L1	2.1875	2.4989	2.7647	4.2794	4.9868	2.3002	2.7042	4.1539	3.2505	3.4981
CD164L2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CD180	0.8751	0.9860	1.0950	0.8208	0.9641	0.9637	0.7580	1.1535	1.1190	1.3871
CD1B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CD1C	0.1865	0.1941	0.1757	0.3664	0.3786	0.2067	0.2885	0.2939	0.2621	0.2558
CD2	0.4309	0.4390	0.4686	0.8416	0.9375	0.3912	0.5317	0.6927	0.5056	0.4334
CD274	3.6350	1.3227	2.5677	1.7139	1.7740	1.8677	0.5452	1.3079	1.2879	1.3694
CD276	2.3505	1.5390	1.8716	1.8995	1.8506	1.9478	1.5911	1.7322	1.9262	2.2162
CD2AP	4.7297	4.3309	2.7405	5.1053	3.4193	5.3412	7.1832	2.9720	4.5699	3.6545
CD300A	0.2264	0.3477	0.3695	0.2254	0.2937	0.2866	0.2242	0.3840	0.3403	0.4095
CD3D	0.9266	1.1819	1.2377	2.3326	2.7029	0.8830	1.3660	1.9694	1.2689	0.9805
CD3E	0.4080	0.5028	0.5326	0.8951	1.0363	0.3782	0.5395	0.7737	0.5062	0.3882
CD3EAP	0.2038	0.2427	0.2565	0.1982	0.2261	0.2028	0.1824	0.2410	0.2049	0.1971
CD52	6.6104	6.5085	6.8121	7.6666	8.0935	10.8107	8.7412	11.8612	15.6631	24.5084
CD55	8.3503	4.2254	6.4750	5.1874	5.3639	5.1446	2.8776	4.3515	4.1672	4.2292
CD58	1.0743	0.5017	0.5227	0.6559	0.3923	0.8267	0.7853	0.2924	0.6035	0.5684
CD7	0.0049	0.0069	0.0069	0.0129	0.0149	0.0078	0.0094	0.0138	0.0127	0.0165
CD74	23.4484	24.6384	21.6804	23.0305	20.4659	26.7317	28.5810	22.6783	26.6538	27.9917
CD80	0.0735	0.0765	0.0753	0.0582	0.0558	0.0887	0.0766	0.0791	0.0973	0.1250
SDC4P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CD86	1.5294	1.4025	1.6989	1.0374	1.2093	1.4993	0.9595	1.5728	1.6435	2.1536
CD8A	0.1321	0.0937	0.1165	0.0890	0.0904	0.0955	0.0702	0.0825	0.0773	0.0682
CD8B	0.0179	0.0252	0.0216	0.0471	0.0508	0.0267	0.0377	0.0432	0.0392	0.0441
CD93	3.7700	2.0795	2.7761	2.4576	2.3021	2.8682	2.0086	2.1952	2.6493	3.1619
SDCCAG1	14.3044	14.2197	14.4627	9.5326	9.0089	14.0500	12.0414	11.4324	12.5899	12.8713
SDCCAG10	7.7448	7.6049	8.2247	4.8374	4.9561	7.3032	5.6364	6.3684	6.6191	6.9861
CDC27	3.5686	3.2803	3.5447	2.2230	2.1695	3.2991	2.5969	2.7124	2.9465	3.1072
SDR16C5	0.0192	0.0596	0.0596	0.0352	0.0532	0.0316	0.0300	0.0632	0.0396	0.0352
SEC1	0.0099	0.0186	0.0144	0.0070	0.0057	0.0177	0.0176	0.0143	0.0184	0.0219
CDC42EP1	0.7416	0.8457	0.8139	0.6081	0.5958	0.7741	0.7422	0.7003	0.7097	0.6652
SEMA4A	0.4998	0.8990	0.7856	0.3520	0.3694	0.6813	0.6601	0.6352	0.6118	0.5397
SEMA4C	1.9609	2.6521	2.8473	2.0087	2.4771	2.0342	1.7453	2.7286	2.1579	2.1151
CDCA7	0.1680	0.2867	0.2961	0.5804	0.6989	0.1634	0.3080	0.4952	0.2677	0.1587
SESTD1	4.2816	5.0869	5.2293	2.8449	3.0760	5.1250	3.9418	4.8881	5.4829	6.9363
CDH12	0.4755	1.1640	1.1344	0.2668	0.4699	0.7424	0.5392	0.9403	0.7566	0.7854
